Gavia stellata	Red-throated Loon	G_stellata	Ga_st
Asio otus	Long-eared Owl	A_otus	As_ot
Aegolius acadicus	Northern Saw-whet Owl	A_acadicus	Ae_ac
Phalaenoptilus nuttallii	Common Poorwill	P_nuttallii	Ph_nu
Cypseloides niger	Black Swift	C_niger	Cy_ni
Chaetura vauxi	Vaux's Swift	C_vauxi	Ch_va
Aeronautes saxatalis	White-throated Swift	A_saxatalis	Ae_sa
Archilochus alexandri	Black-chinned Hummingbird	A_alexandri	Ar_al
Calypte anna	Anna's Hummingbird	C_anna	Ca_an
Stellula calliope	Calliope Hummingbird	S_calliope	St_ca
Selasphorus rufus	Rufous Hummingbird	S_rufus	Se_ru
Selasphorus sasin	Allen's Hummingbird	S_sasin	Se_sa
Ceryle alcyon	Belted Kingfisher	C_alcyon	Ce_al
Melanerpes lewis	Lewis's Woodpecker	M_lewis	Me_le
Melanerpes formicivorus	Acorn Woodpecker	M_formicivorus	Me_fo
Sphyrapicus nuchalis	Red-naped Sapsucker	S_nuchalis	Sp_nu
Sphyrapicus ruber	Red-breasted Sapsucker	S_ruber	Sp_ru
Picoides nuttallii	Nuttall's Woodpecker	P_nuttallii	Pi_nu
Picoides pubescens	Downy Woodpecker	P_pubescens	Pi_pu
Picoides villosus	Hairy Woodpecker	P_villosus	Pi_vi
Colaptes auratus	Northern Flicker	C_auratus	Co_au
Contopus borealis	Olive-sided Flycatcher	C_borealis	Co_bo
Contopus sordidulus	Western Wood-Pewee	C_sordidulus	Co_so
Empidonax traillii	Willow Flycatcher	E_traillii	Em_tr
Empidonax hammondii	Hammond's Flycatcher	E_hammondii	Em_ha
Empidonax difficilis	Pacific-slope Flycatcher	E_difficilis	Em_di
Sayornis nigricans	Black Phoebe	S_nigricans	Sa_ni
Sayornis saya	Say's Phoebe	S_saya	Sa_sa
Myiarchus cinerascens	Ash-throated Flycatcher	M_cinerascens	My_ci
Tyrannus verticalis	Western Kingbird	T_verticalis	Ty_ve
Tyrannus vociferans	Cassin's Kingbird	T_vociferans	Ty_vo
Lanius ludovicianus	Loggerhead Shrike	L_ludovicianus	La_lu
Vireo casinii	Cassin's Vireo	V_casinii	Vi_ca
Vireo huttoni	Hutton's Vireo	V_huttoni	Vi_hu
Vireo gilvus	Warbling Vireo	V_gilvus	Vi_gi
Cyanocitta stelleri	Steller's Jay	C_stelleri	Cy_st
Aphelocoma  californica	Western Scrub Jay	A_californica	Ap_ca
