SomeHeader
G_stellata	Ga_st	Gavia stellata	Red-throated Loon
S_ruber	Sp_ru	Sphyrapicus ruber	Red-breasted Sapsucker
P_nuttallii	Pi_nu	Picoides nuttallii	Nuttall's Woodpecker
P_pubescens	Pi_pu	Picoides pubescens	Downy Woodpecker
P_villosus	Pi_vi	Picoides villosus	Hairy Woodpecker
C_auratus	Co_au	Colaptes auratus	Northern Flicker
C_borealis	Co_bo	Contopus borealis	Olive-sided Flycatcher
C_sordidulus	Co_so	Contopus sordidulus	Western Wood-Pewee
E_traillii	Em_tr	Empidonax traillii	Willow Flycatcher
E_hammondii	Em_ha	Empidonax hammondii	Hammond's Flycatcher
E_difficilis	Em_di	Empidonax difficilis	Pacific-slope Flycatcher
S_nigricans	Sa_ni	Sayornis nigricans	Black Phoebe
S_saya	Sa_sa	Sayornis saya	Say's Phoebe
M_cinerascens	My_ci	Myiarchus cinerascens	Ash-throated Flycatcher
T_verticalis	Ty_ve	Tyrannus verticalis	Western Kingbird
T_vociferans	Ty_vo	Tyrannus vociferans	Cassin's Kingbird
L_ludovicianus	La_lu	Lanius ludovicianus	Loggerhead Shrike
V_casinii	Vi_ca	Vireo casinii	Cassin's Vireo
V_huttoni	Vi_hu	Vireo huttoni	Hutton's Vireo
V_gilvus	Vi_gi	Vireo gilvus	Warbling Vireo
C_stelleri	Cy_st	Cyanocitta stelleri	Steller's Jay
A_californica	Ap_ca	Aphelocoma  californica	Western Scrub Jay
N_columbiana	Nu_co	Nucifraga columbiana	Clark's Nutcracker
P_nuttalli	Pi_nu	Pica nuttalli	Yellow-billed Magpie
C_brachyrhynchos	Co_br	Corvus brachyrhynchos	American Crow
C_corax	Co_co	Corvus corax	Common Raven
E_alpestris	Er_al	Eremophila alpestris	Horned Lark
P_subis	Pr_su	Progne subis	Purple Martin
T_bicolor	Ta_bi	Tachycineta bicolor	Tree Swallow
T_thalassina	Ta_th	Tachycineta thalassina	Violet-green Swallow
S_serripennis	St_se	Stelgidopteryx serripennis	Northern Rough-winged Swallow
P_pyrrhonota	Pe_py	Petrochelidon pyrrhonota	Cliff Swallow
H_rustica	Hi_ru	Hirundo rustica	Barn Swallow
P_gambeli	Po_ga	Poecile gambeli	 Mountain Chickadee
P_rufescens	Po_ru	Poecile rufescens	 Chestnut-backed Chickadee
B_inornatus	Ba_in	Baeolophus inornatus	Oak Titmouse
P_minimus	Ps_mi	Psaltriparus minimus	Bushtit
S_canadensis	Si_ca	Sitta canadensis	Red-breasted Nuthatch
S_carolinensis	Si_ca	Sitta carolinensis	White-breasted Nuthatch
C_americana	Ce_am	Certhia americana	Brown Creeper
T_bewickii	Th_be	Thryomanes bewickii	Bewick's Wren
T_aedon	Tr_ae	Troglodytes aedon	House Wren
T_troglodytes	Tr_tr	Troglodytes troglodytes	Winter Wren
S_obsoletus	Sa_ob	Salpinctes obsoletus	Rock Wren
C_mexicanus	Ca_me	Catherpes mexicanus	Canyon Wren
C_mexicanus	Ci_me	Cinclus mexicanus	American Dipper
C_fasciata	Ch_fa	Chamaea fasciata	Wrentit
R_satrapa	Re_sa	Regulus satrapa	Golden-crowned Kinglet
R_calendula	Re_ca	Regulus calendula	Ruby-crowned Kinglet
P_caerulea	Po_ca	Polioptila caerulea	Blue-gray Gnatcatcher
S_mexicana	Si_me	Sialia mexicana	Western Bluebird
M_townsendi	My_to	Myadestes townsendi	Townsend's Solitaire
I_naevius	Ix_na	Ixoreus naevius	Varied Thrush
T_migratorius	Tu_mi	Turdus migratorius	American Robin
C_ustulatus	Ca_us	Catharus ustulatus	Swainson's Thrush
C_guttatus	Ca_gu	Catharus guttatus	Hermit Thrush
M_polyglottos	Mi_po	Mimus polyglottos	Northern Mockingbird
T_rufum	To_ru	Toxostoma rufum	Brown Thrasher
T_redivivum	To_re	Toxostoma redivivum	California Thrasher
S_vulgaris	St_vu	Sturnus vulgaris	European Starling
A_rubescens	An_ru	Anthus rubescens	American Pipit
P_nitens	Ph_ni	Phainopepla nitens	Phainopepla
B_cedrorum	Bo_ce	Bombycilla cedrorum	Cedar Waxwing
V_celata	Ve_ce	Vermivora celata	Orange-crowned Warbler
V_ruficapilla	Ve_ru	Vermivora ruficapilla	Nashville Warbler
P_americana	Pa_am	Parula americana	Northern Parula
D_petechia	De_pe	Dendroica petechia	Yellow Warbler
D_coronata	De_co	Dendroica coronata	Yellow-rumped Warbler
D_nigrescens	De_ni	Dendroica nigrescens	Black-throated Gray Warbler
D_townsendi	De_to	Dendroica townsendi	Townsend's Warbler
